"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.image_url","Input.image_url2","Input.image_url3","Input.image_url4","Answer.categories","Approve","Reject"
"34XASH8KLS2VOA3KTXH211N1D0BMPO","3YWCO65Q5IJ2BZ5AYYF9OPZOVQX0QT","Which shelf should each object go on?","Place the object you see on the left onto the correct shelf on the right","categorize, image, similarity","$0.01","Tue Jul 02 21:53:26 PDT 2019","1","BatchId:3694551;OriginalHitTemplateId:928390873;","10800","691200","Tue Jul 09 21:53:26 PDT 2019","","","388U7OUMFAHLJTAL7N3UXJCSZWN0RC","AQQYTC6U7N81J","Submitted","Tue Jul 02 21:55:56 PDT 2019","Tue Jul 02 21:56:16 PDT 2019","Wed Jul 10 21:56:16 PDT 2019","","","","20","0% (0/0)","0% (0/0)","0% (0/0)","frozen_snack.png","vegemite.jpg","frozen_snack.png","onions.jpg","Middle"
"3BCRDCM0OFASOGLCTP5DGO4GTQQK6B","3YWCO65Q5IJ2BZ5AYYF9OPZOVQX0QT","Which shelf should each object go on?","Place the object you see on the left onto the correct shelf on the right","categorize, image, similarity","$0.01","Tue Jul 02 21:53:29 PDT 2019","1","BatchId:3694551;OriginalHitTemplateId:928390873;","10800","691200","Tue Jul 09 21:53:29 PDT 2019","","","3X4JMASXCPPY3MTWBQH4X47OHALB0B","A33MF851P56BFH","Submitted","Tue Jul 02 21:59:16 PDT 2019","Tue Jul 02 21:59:25 PDT 2019","Wed Jul 10 21:59:25 PDT 2019","","","","9","0% (0/0)","0% (0/0)","0% (0/0)","carrot.jpeg","frozen_snack.png","carrot.jpeg","chips.jpg","Middle"
"3QD8LUVX4ZE2PCK5NPAXECYIT4V5X6","3YWCO65Q5IJ2BZ5AYYF9OPZOVQX0QT","Which shelf should each object go on?","Place the object you see on the left onto the correct shelf on the right","categorize, image, similarity","$0.01","Tue Jul 02 21:53:56 PDT 2019","1","BatchId:3694551;OriginalHitTemplateId:928390873;","10800","691200","Tue Jul 09 21:53:56 PDT 2019","","","31HQ4X3T3VQAH4ZKB5PILD9COWJSL3","A1DXFMUVK5015A","Submitted","Tue Jul 02 22:00:39 PDT 2019","Tue Jul 02 22:00:45 PDT 2019","Wed Jul 10 22:00:45 PDT 2019","","","","6","0% (0/0)","0% (0/0)","0% (0/0)","dessert.jpg","onions.jpg","beverage.jpg","fruit.jpg","Middle"
"3YLTXLH3DHM9WW29201P9WF5WECPHI","3YWCO65Q5IJ2BZ5AYYF9OPZOVQX0QT","Which shelf should each object go on?","Place the object you see on the left onto the correct shelf on the right","categorize, image, similarity","$0.01","Tue Jul 02 21:53:26 PDT 2019","1","BatchId:3694551;OriginalHitTemplateId:928390873;","10800","691200","Tue Jul 09 21:53:26 PDT 2019","","","37Q970SNZHOXRXVGIV7Z1Y0YQQBS1U","A1HNR6OIRFCEHS","Submitted","Tue Jul 02 21:55:06 PDT 2019","Tue Jul 02 21:57:01 PDT 2019","Wed Jul 10 21:57:01 PDT 2019","","","","115","100% (152/152)","0% (0/0)","0% (0/0)","onions.jpg","frozen_snack.png","dessert.jpg","vegemite.jpg","Middle"
"3XD2A6FGFPADUI0IW5HRRKMS0LBS9B","3YWCO65Q5IJ2BZ5AYYF9OPZOVQX0QT","Which shelf should each object go on?","Place the object you see on the left onto the correct shelf on the right","categorize, image, similarity","$0.01","Tue Jul 02 21:53:27 PDT 2019","1","BatchId:3694551;OriginalHitTemplateId:928390873;","10800","691200","Tue Jul 09 21:53:27 PDT 2019","","","30ZX6P7VFBBBHFUME5YZEGJGMDCJ2M","A1AYVATMT88U1W","Submitted","Tue Jul 02 21:55:36 PDT 2019","Tue Jul 02 21:55:54 PDT 2019","Wed Jul 10 21:55:54 PDT 2019","","","","18","100% (88/88)","0% (0/0)","0% (0/0)","beverage.jpg","beverage.jpg","carrot.jpeg","vegemite.jpg","Top"
"37G6BXQPLS1ICYCMCC88OY829U6EQI","3YWCO65Q5IJ2BZ5AYYF9OPZOVQX0QT","Which shelf should each object go on?","Place the object you see on the left onto the correct shelf on the right","categorize, image, similarity","$0.01","Tue Jul 02 21:53:26 PDT 2019","1","BatchId:3694551;OriginalHitTemplateId:928390873;","10800","691200","Tue Jul 09 21:53:26 PDT 2019","","","3SKRO2GZ747Z3EI8DMYXAC9O9WZ1KN","A1AYVATMT88U1W","Submitted","Tue Jul 02 21:56:28 PDT 2019","Tue Jul 02 21:56:52 PDT 2019","Wed Jul 10 21:56:52 PDT 2019","","","","24","100% (88/88)","0% (0/0)","0% (0/0)","noodles.jpg","carrot.jpeg","onions.jpg","vegemite.jpg","Top"
"341H3G5YF2USZ0YJR1S6U2I2KWI0ZD","3YWCO65Q5IJ2BZ5AYYF9OPZOVQX0QT","Which shelf should each object go on?","Place the object you see on the left onto the correct shelf on the right","categorize, image, similarity","$0.01","Tue Jul 02 21:53:55 PDT 2019","1","BatchId:3694551;OriginalHitTemplateId:928390873;","10800","691200","Tue Jul 09 21:53:55 PDT 2019","","","33FBRBDW6RFZVGQ5KUQE13JOITWC85","A1DXFMUVK5015A","Submitted","Tue Jul 02 21:56:48 PDT 2019","Tue Jul 02 21:56:52 PDT 2019","Wed Jul 10 21:56:52 PDT 2019","","","","4","0% (0/0)","0% (0/0)","0% (0/0)","cereal.jpg","vegemite.jpg","onions.jpg","cereal.jpg","Bottom"
"31MBOZ6PAQ7SO3CVOGUHHO95EC6CLY","3YWCO65Q5IJ2BZ5AYYF9OPZOVQX0QT","Which shelf should each object go on?","Place the object you see on the left onto the correct shelf on the right","categorize, image, similarity","$0.01","Tue Jul 02 21:53:29 PDT 2019","1","BatchId:3694551;OriginalHitTemplateId:928390873;","10800","691200","Tue Jul 09 21:53:29 PDT 2019","","","32N49TQG3JY9DDPK895XNMD8TOBAV5","AFG3FXABPGSZS","Submitted","Tue Jul 02 21:55:17 PDT 2019","Tue Jul 02 21:55:34 PDT 2019","Wed Jul 10 21:55:34 PDT 2019","","","","17","100% (28/28)","0% (0/0)","0% (0/0)","beverage.jpg","noodles.jpg","dessert.jpg","chips.jpg","Bottom"
"36GJS3V78X6ZAP40NHENR0HS8FUGJB","3YWCO65Q5IJ2BZ5AYYF9OPZOVQX0QT","Which shelf should each object go on?","Place the object you see on the left onto the correct shelf on the right","categorize, image, similarity","$0.01","Tue Jul 02 21:53:56 PDT 2019","1","BatchId:3694551;OriginalHitTemplateId:928390873;","10800","691200","Tue Jul 09 21:53:56 PDT 2019","","","3Y5140Z9D0WBEBBMYLOBYSC9K8GIPX","AQQYTC6U7N81J","Submitted","Tue Jul 02 21:57:50 PDT 2019","Tue Jul 02 21:57:59 PDT 2019","Wed Jul 10 21:57:59 PDT 2019","","","","9","0% (0/0)","0% (0/0)","0% (0/0)","fruit.jpg","cereal.jpg","vegemite.jpg","chips.jpg","Bottom"
"3GL25Y6845A0XJ5BFORJVE94FZKMXC","3YWCO65Q5IJ2BZ5AYYF9OPZOVQX0QT","Which shelf should each object go on?","Place the object you see on the left onto the correct shelf on the right","categorize, image, similarity","$0.01","Tue Jul 02 21:53:27 PDT 2019","1","BatchId:3694551;OriginalHitTemplateId:928390873;","10800","691200","Tue Jul 09 21:53:27 PDT 2019","","","3TOK3KHVJWYW4RIP0U7ZI3HAWN8O7Q","A3AZWYP6HBVNRU","Submitted","Tue Jul 02 21:55:38 PDT 2019","Tue Jul 02 21:55:47 PDT 2019","Wed Jul 10 21:55:47 PDT 2019","","","","9","0% (0/0)","0% (0/0)","0% (0/0)","frozen_snack.png","carrot.jpeg","vegemite.jpg","dessert.jpg","Bottom"
"3WPCIUYH1COQC8QEXLRJNL14TP5DT3","3YWCO65Q5IJ2BZ5AYYF9OPZOVQX0QT","Which shelf should each object go on?","Place the object you see on the left onto the correct shelf on the right","categorize, image, similarity","$0.01","Tue Jul 02 21:53:55 PDT 2019","1","BatchId:3694551;OriginalHitTemplateId:928390873;","10800","691200","Tue Jul 09 21:53:55 PDT 2019","","","30IQTZXKANM5GPWXGM9MM1YG0D7X04","A094612415T5EHTYKXTQ","Submitted","Tue Jul 02 21:56:41 PDT 2019","Tue Jul 02 21:56:45 PDT 2019","Wed Jul 10 21:56:45 PDT 2019","","","","4","0% (0/0)","0% (0/0)","0% (0/0)","dessert.jpg","dessert.jpg","vegemite.jpg","chips.jpg","Top"
"309D674SH11GBUQJX35N3LD02ISCBB","3YWCO65Q5IJ2BZ5AYYF9OPZOVQX0QT","Which shelf should each object go on?","Place the object you see on the left onto the correct shelf on the right","categorize, image, similarity","$0.01","Tue Jul 02 21:53:26 PDT 2019","1","BatchId:3694551;OriginalHitTemplateId:928390873;","10800","691200","Tue Jul 09 21:53:26 PDT 2019","","","39GHHAVOMI7LKT99IJHN7VGE6R8J4I","AF5MROGXMI9OL","Submitted","Tue Jul 02 21:55:38 PDT 2019","Tue Jul 02 21:55:44 PDT 2019","Wed Jul 10 21:55:44 PDT 2019","","","","6","0% (0/0)","0% (0/0)","0% (0/0)","cereal.jpg","onions.jpg","beverage.jpg","fruit.jpg","Middle"
"3HFWPF5AKBZRFGB2FWGH07J60T1S3U","3YWCO65Q5IJ2BZ5AYYF9OPZOVQX0QT","Which shelf should each object go on?","Place the object you see on the left onto the correct shelf on the right","categorize, image, similarity","$0.01","Tue Jul 02 21:53:26 PDT 2019","1","BatchId:3694551;OriginalHitTemplateId:928390873;","10800","691200","Tue Jul 09 21:53:26 PDT 2019","","","39OWYR0EPN7LDY1XO0E98MST8LQYFF","AZZYF19BXGOHY","Submitted","Tue Jul 02 21:56:16 PDT 2019","Tue Jul 02 21:56:28 PDT 2019","Wed Jul 10 21:56:28 PDT 2019","","","","12","0% (0/0)","0% (0/0)","0% (0/0)","frozen_snack.png","dessert.jpg","cereal.jpg","fruit.jpg","Top"
"3TX9T2ZCBBHL7QZ4K8LR1XR6L1WWZA","3YWCO65Q5IJ2BZ5AYYF9OPZOVQX0QT","Which shelf should each object go on?","Place the object you see on the left onto the correct shelf on the right","categorize, image, similarity","$0.01","Tue Jul 02 21:53:29 PDT 2019","1","BatchId:3694551;OriginalHitTemplateId:928390873;","10800","691200","Tue Jul 09 21:53:29 PDT 2019","","","3CTOC39K3A6I3GRSKHFUA70OXTYJ72","AHLCZ0XZ7M4UZ","Submitted","Tue Jul 02 21:56:01 PDT 2019","Tue Jul 02 21:56:38 PDT 2019","Wed Jul 10 21:56:38 PDT 2019","","","","37","0% (0/0)","0% (0/0)","0% (0/0)","onions.jpg","carrot.jpeg","fruit.jpg","beverage.jpg","Middle"
"3OQQD2WO8KM2L286AKM3W5DJRV03IE","3YWCO65Q5IJ2BZ5AYYF9OPZOVQX0QT","Which shelf should each object go on?","Place the object you see on the left onto the correct shelf on the right","categorize, image, similarity","$0.01","Tue Jul 02 21:53:56 PDT 2019","1","BatchId:3694551;OriginalHitTemplateId:928390873;","10800","691200","Tue Jul 09 21:53:56 PDT 2019","","","3PEIJLRY6W9YOFXI9T27TW7K1IMWX5","AK0Y7Z9HRL7SG","Submitted","Tue Jul 02 21:56:38 PDT 2019","Tue Jul 02 21:57:09 PDT 2019","Wed Jul 10 21:57:09 PDT 2019","","","","31","100% (1/1)","0% (0/0)","0% (0/0)","frozen_snack.png","beverage.jpg","frozen_snack.png","vegemite.jpg","Middle"
"37YYO3NWHF6ZLZIPB31IE5JIK3SCCI","3YWCO65Q5IJ2BZ5AYYF9OPZOVQX0QT","Which shelf should each object go on?","Place the object you see on the left onto the correct shelf on the right","categorize, image, similarity","$0.01","Tue Jul 02 21:53:26 PDT 2019","1","BatchId:3694551;OriginalHitTemplateId:928390873;","10800","691200","Tue Jul 09 21:53:26 PDT 2019","","","3HSYG7LRBME19F4ULW4FFR5NI2ZKK9","A33MF851P56BFH","Submitted","Tue Jul 02 21:57:27 PDT 2019","Tue Jul 02 21:58:07 PDT 2019","Wed Jul 10 21:58:07 PDT 2019","","","","40","0% (0/0)","0% (0/0)","0% (0/0)","onions.jpg","noodles.jpg","fruit.jpg","dessert.jpg","Top"
"3UXQ63NLAC29EYKPAGYM643NWR7BLR","3YWCO65Q5IJ2BZ5AYYF9OPZOVQX0QT","Which shelf should each object go on?","Place the object you see on the left onto the correct shelf on the right","categorize, image, similarity","$0.01","Tue Jul 02 21:53:56 PDT 2019","1","BatchId:3694551;OriginalHitTemplateId:928390873;","10800","691200","Tue Jul 09 21:53:56 PDT 2019","","","3NGI5ARFTWL0E5FOQE356TVN3651PO","A2582J9NDO5LDU","Submitted","Tue Jul 02 21:56:30 PDT 2019","Tue Jul 02 21:58:07 PDT 2019","Wed Jul 10 21:58:07 PDT 2019","","","","97","0% (0/0)","0% (0/0)","0% (0/0)","chips.jpg","dessert.jpg","cereal.jpg","carrot.jpeg","Bottom"
"3OKP4QVBP4DO9W1WTB1AY1E9ISZAGO","3YWCO65Q5IJ2BZ5AYYF9OPZOVQX0QT","Which shelf should each object go on?","Place the object you see on the left onto the correct shelf on the right","categorize, image, similarity","$0.01","Tue Jul 02 21:53:26 PDT 2019","1","BatchId:3694551;OriginalHitTemplateId:928390873;","10800","691200","Tue Jul 09 21:53:26 PDT 2019","","","3TXWC2NHN26FG2YBM8MSG4IHO209SL","A3L6DHONHOKCXS","Submitted","Tue Jul 02 21:56:40 PDT 2019","Tue Jul 02 21:59:35 PDT 2019","Wed Jul 10 21:59:35 PDT 2019","","","","175","0% (0/0)","0% (0/0)","0% (0/0)","carrot.jpeg","carrot.jpeg","vegemite.jpg","dessert.jpg","Top"
"3KWGG5KP6LICULUGOSVWH1OUEHWCM0","3YWCO65Q5IJ2BZ5AYYF9OPZOVQX0QT","Which shelf should each object go on?","Place the object you see on the left onto the correct shelf on the right","categorize, image, similarity","$0.01","Tue Jul 02 21:53:29 PDT 2019","1","BatchId:3694551;OriginalHitTemplateId:928390873;","10800","691200","Tue Jul 09 21:53:29 PDT 2019","","","3WRFBPLXRD4WLNHQX34WQX5P1BIN36","AJQGWGESKQT4Y","Submitted","Tue Jul 02 21:57:35 PDT 2019","Tue Jul 02 21:57:41 PDT 2019","Wed Jul 10 21:57:41 PDT 2019","","","","6","0% (0/0)","0% (0/0)","0% (0/0)","carrot.jpeg","vegemite.jpg","carrot.jpeg","frozen_snack.png","Middle"
"3MQKOF1EE44I4PU8SQWUA583XJNDWT","3YWCO65Q5IJ2BZ5AYYF9OPZOVQX0QT","Which shelf should each object go on?","Place the object you see on the left onto the correct shelf on the right","categorize, image, similarity","$0.01","Tue Jul 02 21:53:56 PDT 2019","1","BatchId:3694551;OriginalHitTemplateId:928390873;","10800","691200","Tue Jul 09 21:53:56 PDT 2019","","","3SNVL38CI78JQHS6TJNHR8SFDTQKCW","A3AZWYP6HBVNRU","Submitted","Tue Jul 02 21:57:20 PDT 2019","Tue Jul 02 21:57:25 PDT 2019","Wed Jul 10 21:57:25 PDT 2019","","","","5","0% (0/0)","0% (0/0)","0% (0/0)","dessert.jpg","carrot.jpeg","cereal.jpg","noodles.jpg","Middle"
"34D9ZRXCYTARZ1ANOBVRNFXC63TSAQ","3YWCO65Q5IJ2BZ5AYYF9OPZOVQX0QT","Which shelf should each object go on?","Place the object you see on the left onto the correct shelf on the right","categorize, image, similarity","$0.01","Tue Jul 02 21:53:27 PDT 2019","1","BatchId:3694551;OriginalHitTemplateId:928390873;","10800","691200","Tue Jul 09 21:53:27 PDT 2019","","","3K772S5NPBR7LPBCJPQF44CQ6OZHEI","AZ9CDQWRN42YX","Submitted","Tue Jul 02 21:57:11 PDT 2019","Tue Jul 02 21:57:19 PDT 2019","Wed Jul 10 21:57:19 PDT 2019","","","","8","0% (0/0)","0% (0/0)","0% (0/0)","frozen_snack.png","dessert.jpg","cereal.jpg","carrot.jpeg","Middle"
"3DFYDSXB2YGIF75V7M34VFIJHN8UJO","3YWCO65Q5IJ2BZ5AYYF9OPZOVQX0QT","Which shelf should each object go on?","Place the object you see on the left onto the correct shelf on the right","categorize, image, similarity","$0.01","Tue Jul 02 21:53:26 PDT 2019","1","BatchId:3694551;OriginalHitTemplateId:928390873;","10800","691200","Tue Jul 09 21:53:26 PDT 2019","","","3SB5N7Y3O6KUU317RC9IYFYLXNBG0V","A8AYPFS4N3QWY","Submitted","Tue Jul 02 21:55:19 PDT 2019","Tue Jul 02 21:55:43 PDT 2019","Wed Jul 10 21:55:43 PDT 2019","","","","24","0% (0/0)","0% (0/0)","0% (0/0)","cereal.jpg","carrot.jpeg","fruit.jpg","frozen_snack.png","Top"
"3LG268AV3AMIOZRMPRX8TOI75G8ERJ","3YWCO65Q5IJ2BZ5AYYF9OPZOVQX0QT","Which shelf should each object go on?","Place the object you see on the left onto the correct shelf on the right","categorize, image, similarity","$0.01","Tue Jul 02 21:53:26 PDT 2019","1","BatchId:3694551;OriginalHitTemplateId:928390873;","10800","691200","Tue Jul 09 21:53:26 PDT 2019","","","3DQQ64TANJ1TF6VRN2SQZJLHZJDPWA","ANP4Z5Y8BBDTY","Submitted","Tue Jul 02 21:55:29 PDT 2019","Tue Jul 02 21:55:35 PDT 2019","Wed Jul 10 21:55:35 PDT 2019","","","","6","0% (0/0)","0% (0/0)","0% (0/0)","carrot.jpeg","vegemite.jpg","dessert.jpg","noodles.jpg","Bottom"
"32204AGAADS3JJ9AZHB2FN1DVNQGH6","3YWCO65Q5IJ2BZ5AYYF9OPZOVQX0QT","Which shelf should each object go on?","Place the object you see on the left onto the correct shelf on the right","categorize, image, similarity","$0.01","Tue Jul 02 21:53:56 PDT 2019","1","BatchId:3694551;OriginalHitTemplateId:928390873;","10800","691200","Tue Jul 09 21:53:56 PDT 2019","","","3WR9XG3T66RS0Y87HASQ45B5FW947X","A3IZZK604KSONP","Submitted","Tue Jul 02 21:56:26 PDT 2019","Tue Jul 02 21:56:56 PDT 2019","Wed Jul 10 21:56:56 PDT 2019","","","","30","0% (0/0)","0% (0/0)","0% (0/0)","dessert.jpg","vegemite.jpg","frozen_snack.png","onions.jpg","Middle"
"3MG8450X2QQE1I8T2Z8OSB4VQMEUPO","3YWCO65Q5IJ2BZ5AYYF9OPZOVQX0QT","Which shelf should each object go on?","Place the object you see on the left onto the correct shelf on the right","categorize, image, similarity","$0.01","Tue Jul 02 21:53:27 PDT 2019","1","BatchId:3694551;OriginalHitTemplateId:928390873;","10800","691200","Tue Jul 09 21:53:27 PDT 2019","","","36ZN444YTUETTBZLJLBW9S7JA3KOIM","A1QXU4Q3CK75FK","Submitted","Tue Jul 02 21:58:22 PDT 2019","Tue Jul 02 21:58:41 PDT 2019","Wed Jul 10 21:58:41 PDT 2019","","","","19","0% (0/0)","0% (0/0)","0% (0/0)","beverage.jpg","frozen_snack.png","cereal.jpg","carrot.jpeg","Middle"
"3M4KL7H8KX3QIFZQLFZVB98HKKR61V","3YWCO65Q5IJ2BZ5AYYF9OPZOVQX0QT","Which shelf should each object go on?","Place the object you see on the left onto the correct shelf on the right","categorize, image, similarity","$0.01","Tue Jul 02 21:53:57 PDT 2019","1","BatchId:3694551;OriginalHitTemplateId:928390873;","10800","691200","Tue Jul 09 21:53:57 PDT 2019","","","3DIP6YHAPF8ESEAJGLW9RRJR359E80","A2WSCOFC152V1Q","Submitted","Tue Jul 02 21:56:37 PDT 2019","Tue Jul 02 21:56:42 PDT 2019","Wed Jul 10 21:56:42 PDT 2019","","","","5","0% (0/0)","0% (0/0)","0% (0/0)","chips.jpg","noodles.jpg","chips.jpg","onions.jpg","Middle"
